id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,form pressure,88,49,35,96,357,ship,baseline,monotonic-signal,raise-signal
m002,g002,sync drift,105,57,43,24,329,ship,edge,drag-penalty,drop-slack
m003,g003,local state,34,45,35,63,104,hold,recovery,confidence-floor,raise-drag
m004,g004,conflict cost,90,36,22,46,354,ship,negative,lane-boundary,lower-confidence
m005,g005,form pressure,42,69,41,62,135,watch,baseline,monotonic-signal,raise-signal
m006,g006,sync drift,96,42,10,68,454,ship,edge,drag-penalty,drop-slack
m007,g007,local state,87,13,45,75,256,ship,recovery,confidence-floor,raise-drag
m008,g008,conflict cost,86,65,12,27,388,ship,negative,lane-boundary,lower-confidence
m009,g009,form pressure,98,24,21,27,359,ship,baseline,monotonic-signal,raise-signal
m010,g010,sync drift,50,65,27,68,225,ship,edge,drag-penalty,drop-slack
m011,g011,local state,78,69,18,93,402,ship,recovery,confidence-floor,raise-drag
m012,g012,conflict cost,52,68,25,11,187,ship,negative,lane-boundary,lower-confidence
m013,g013,form pressure,95,70,33,80,398,ship,baseline,monotonic-signal,raise-signal
m014,g014,sync drift,63,63,39,70,229,ship,edge,drag-penalty,drop-slack
m015,g015,local state,55,43,51,26,85,hold,recovery,confidence-floor,raise-drag
m016,g016,conflict cost,98,65,6,82,515,ship,negative,lane-boundary,lower-confidence
m017,g017,form pressure,44,9,9,91,240,ship,baseline,monotonic-signal,raise-signal
m018,g018,sync drift,51,42,12,50,248,ship,edge,drag-penalty,drop-slack
m019,g019,local state,63,43,22,77,284,ship,recovery,confidence-floor,raise-drag
m020,g020,conflict cost,72,75,18,82,373,ship,negative,lane-boundary,lower-confidence
m021,g021,form pressure,45,59,21,23,178,ship,baseline,monotonic-signal,raise-signal
m022,g022,sync drift,110,7,24,62,413,ship,edge,drag-penalty,drop-slack
m023,g023,local state,106,70,13,58,500,ship,recovery,confidence-floor,raise-drag
m024,g024,conflict cost,108,64,20,48,464,ship,negative,lane-boundary,lower-confidence
m025,g025,form pressure,77,65,28,67,328,ship,baseline,monotonic-signal,raise-signal
