id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,form pressure,79,49,35,96,321,ship,baseline,monotonic-signal
g002,sync drift,105,68,43,24,340,ship,edge,drag-penalty
g003,local state,34,45,28,63,132,watch,recovery,confidence-floor
g004,conflict cost,90,36,22,59,367,ship,negative,lane-boundary
g005,form pressure,33,69,41,62,99,hold,baseline,monotonic-signal
g006,sync drift,96,53,10,68,465,ship,edge,drag-penalty
g007,local state,87,13,38,75,284,ship,recovery,confidence-floor
g008,conflict cost,86,65,12,40,401,ship,negative,lane-boundary
g009,form pressure,89,24,21,27,323,ship,baseline,monotonic-signal
g010,sync drift,50,76,27,68,236,ship,edge,drag-penalty
g011,local state,78,69,11,93,430,ship,recovery,confidence-floor
g012,conflict cost,52,68,25,24,200,ship,negative,lane-boundary
g013,form pressure,86,70,33,80,362,ship,baseline,monotonic-signal
g014,sync drift,63,74,39,70,240,ship,edge,drag-penalty
g015,local state,55,43,44,26,113,hold,recovery,confidence-floor
g016,conflict cost,98,65,6,95,528,ship,negative,lane-boundary
g017,form pressure,35,9,9,91,204,ship,baseline,monotonic-signal
g018,sync drift,51,53,12,50,259,ship,edge,drag-penalty
g019,local state,63,43,15,77,312,ship,recovery,confidence-floor
g020,conflict cost,72,75,18,95,386,ship,negative,lane-boundary
g021,form pressure,36,59,21,23,142,watch,baseline,monotonic-signal
g022,sync drift,110,18,24,62,424,ship,edge,drag-penalty
g023,local state,106,70,6,58,528,ship,recovery,confidence-floor
g024,conflict cost,108,64,20,61,477,ship,negative,lane-boundary
g025,form pressure,68,65,28,67,292,ship,baseline,monotonic-signal
g026,sync drift,96,31,13,74,437,ship,edge,drag-penalty
g027,local state,113,52,7,39,515,ship,recovery,confidence-floor
g028,conflict cost,37,30,26,26,100,hold,negative,lane-boundary
g029,form pressure,47,21,37,67,128,watch,baseline,monotonic-signal
g030,sync drift,55,54,23,92,274,ship,edge,drag-penalty
g031,local state,63,73,39,23,192,ship,recovery,confidence-floor
g032,conflict cost,32,50,6,79,233,ship,negative,lane-boundary
g033,form pressure,58,41,12,69,294,ship,baseline,monotonic-signal
g034,sync drift,75,74,38,25,247,ship,edge,drag-penalty
g035,local state,43,58,10,94,284,ship,recovery,confidence-floor
g036,conflict cost,74,18,18,90,332,ship,negative,lane-boundary
g037,form pressure,49,70,24,49,219,ship,baseline,monotonic-signal
g038,sync drift,40,29,29,76,149,watch,edge,drag-penalty
g039,local state,39,11,33,94,129,watch,recovery,confidence-floor
g040,conflict cost,42,74,36,22,120,hold,negative,lane-boundary
g041,form pressure,91,73,39,61,342,ship,baseline,monotonic-signal
g042,sync drift,31,75,42,57,88,hold,edge,drag-penalty
g043,local state,93,9,45,60,261,ship,recovery,confidence-floor
g044,conflict cost,39,48,6,66,246,ship,negative,lane-boundary
g045,form pressure,104,70,9,73,523,ship,baseline,monotonic-signal
g046,sync drift,96,14,33,38,304,ship,edge,drag-penalty
g047,local state,51,58,5,25,267,ship,recovery,confidence-floor
g048,conflict cost,76,48,13,66,366,ship,negative,lane-boundary
g049,form pressure,92,10,40,91,309,ship,baseline,monotonic-signal
g050,sync drift,104,64,34,22,366,ship,edge,drag-penalty
g051,local state,113,23,11,78,509,ship,recovery,confidence-floor
g052,conflict cost,77,75,22,68,363,ship,negative,lane-boundary
g053,form pressure,63,69,8,24,313,ship,baseline,monotonic-signal
g054,sync drift,59,70,24,93,303,ship,edge,drag-penalty
g055,local state,61,36,33,89,237,ship,recovery,confidence-floor
g056,conflict cost,109,57,39,48,385,ship,negative,lane-boundary
g057,form pressure,49,35,23,75,214,ship,baseline,monotonic-signal
g058,sync drift,66,26,37,93,235,ship,edge,drag-penalty
g059,local state,78,59,45,21,212,ship,recovery,confidence-floor
g060,conflict cost,88,8,9,60,384,ship,negative,lane-boundary
g061,form pressure,96,55,14,56,439,ship,baseline,monotonic-signal
g062,sync drift,104,46,18,59,449,ship,edge,drag-penalty
g063,local state,73,9,21,65,282,ship,recovery,confidence-floor
g064,conflict cost,99,63,24,72,435,ship,negative,lane-boundary
g065,form pressure,116,23,27,37,416,ship,baseline,monotonic-signal
g066,sync drift,84,75,30,24,315,ship,edge,drag-penalty
g067,local state,115,34,33,65,427,ship,recovery,confidence-floor
g068,conflict cost,90,16,36,90,322,ship,negative,lane-boundary
g069,form pressure,81,9,18,21,282,ship,baseline,monotonic-signal
g070,sync drift,80,8,32,77,277,ship,edge,drag-penalty
g071,local state,83,10,40,67,249,ship,recovery,confidence-floor
g072,conflict cost,44,14,25,23,113,hold,negative,lane-boundary
g073,form pressure,72,53,19,92,357,ship,baseline,monotonic-signal
g074,sync drift,46,75,38,88,195,ship,edge,drag-penalty
g075,local state,80,19,7,47,358,ship,recovery,confidence-floor
g076,conflict cost,57,63,35,74,225,ship,negative,lane-boundary
g077,form pressure,49,53,9,92,305,ship,baseline,monotonic-signal
g078,sync drift,92,15,18,20,331,ship,edge,drag-penalty
g079,local state,117,69,24,59,500,ship,recovery,confidence-floor
g080,conflict cost,45,28,8,55,231,ship,negative,lane-boundary
g081,form pressure,57,10,22,58,208,ship,baseline,monotonic-signal
g082,sync drift,66,74,30,64,282,ship,edge,drag-penalty
g083,local state,30,75,36,71,122,watch,recovery,confidence-floor
g084,conflict cost,104,41,41,36,329,ship,negative,lane-boundary
g085,form pressure,100,62,45,23,305,ship,baseline,monotonic-signal
g086,sync drift,102,40,6,64,488,ship,edge,drag-penalty
g087,local state,62,31,9,89,332,ship,recovery,confidence-floor
g088,conflict cost,90,64,12,20,396,ship,negative,lane-boundary
g089,form pressure,107,13,15,76,457,ship,baseline,monotonic-signal
g090,sync drift,31,60,18,66,178,ship,edge,drag-penalty
g091,local state,41,51,21,22,153,ship,recovery,confidence-floor
g092,conflict cost,49,14,45,91,121,hold,negative,lane-boundary
g093,form pressure,57,68,17,87,315,ship,baseline,monotonic-signal
g094,sync drift,114,28,25,46,430,ship,edge,drag-penalty
g095,local state,52,10,10,73,251,ship,recovery,confidence-floor
g096,conflict cost,69,39,4,91,390,ship,negative,lane-boundary
